------------------------------------------------------------------------------------
Date: 5/24/2025 -- 19:11:31 (uptime: 0d, 00h 00m 02s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 34662
decoder.bytes                                 | Total                     | 17660132
decoder.ipv4                                  | Total                     | 34662
decoder.ethernet                              | Total                     | 34662
decoder.tcp                                   | Total                     | 34212
tcp.syn                                       | Total                     | 428
tcp.synack                                    | Total                     | 421
tcp.rst                                       | Total                     | 171
decoder.udp                                   | Total                     | 450
decoder.avg_pkt_size                          | Total                     | 509
decoder.max_pkt_size                          | Total                     | 2932
flow.total                                    | Total                     | 643
flow.tcp                                      | Total                     | 422
flow.udp                                      | Total                     | 221
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 22
flow.wrk.flows_evicted_needs_work             | Total                     | 181
flow.wrk.flows_evicted_pkt_inject             | Total                     | 304
flow.wrk.flows_evicted                        | Total                     | 9
flow.wrk.flows_injected                       | Total                     | 178
tcp.sessions                                  | Total                     | 418
tcp.ssn_from_cache                            | Total                     | 3
tcp.ssn_from_pool                             | Total                     | 415
tcp.pseudo                                    | Total                     | 8
tcp.segment_from_cache                        | Total                     | 6423
tcp.segment_from_pool                         | Total                     | 379
tcp.stream_depth_reached                      | Total                     | 1
tcp.overlap                                   | Total                     | 112
app_layer.flow.http                           | Total                     | 55
app_layer.tx.http                             | Total                     | 57
app_layer.flow.smtp                           | Total                     | 83
app_layer.tx.smtp                             | Total                     | 83
app_layer.flow.tls                            | Total                     | 181
app_layer.error.tls.parser                    | Total                     | 26
app_layer.flow.smb                            | Total                     | 6
app_layer.tx.smb                              | Total                     | 113
app_layer.flow.dcerpc_tcp                     | Total                     | 6
app_layer.tx.dcerpc_tcp                       | Total                     | 31
app_layer.flow.dns_tcp                        | Total                     | 1
app_layer.tx.dns_tcp                          | Total                     | 2
app_layer.flow.ntp                            | Total                     | 3
app_layer.tx.ntp                              | Total                     | 3
app_layer.flow.krb5_tcp                       | Total                     | 19
app_layer.tx.krb5_tcp                         | Total                     | 38
app_layer.flow.failed_tcp                     | Total                     | 12
app_layer.flow.dns_udp                        | Total                     | 192
app_layer.tx.dns_udp                          | Total                     | 386
app_layer.flow.failed_udp                     | Total                     | 26
flow.end.state.new                            | Total                     | 10
flow.end.state.established                    | Total                     | 225
flow.end.state.closed                         | Total                     | 408
flow.end.tcp_state.established                | Total                     | 5
flow.end.tcp_state.fin_wait2                  | Total                     | 4
flow.end.tcp_state.time_wait                  | Total                     | 31
flow.end.tcp_state.last_ack                   | Total                     | 3
flow.end.tcp_state.close_wait                 | Total                     | 1
flow.end.tcp_state.closed                     | Total                     | 374
flow.mgr.rows_per_sec                         | Total                     | 13107
flow.spare                                    | Total                     | 9900
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 1
flow.mgr.flows_notimeout                      | Total                     | 1
memcap_pressure                               | Total                     | 20
memcap_pressure_max                           | Total                     | 20
flow.recycler.recycled                        | Total                     | 456
flow.recycler.queue_max                       | Total                     | 231
tcp.memuse                                    | Total                     | 13697024
tcp.reassembly_memuse                         | Total                     | 2523136
flow.memuse                                   | Total                     | 6834304
